famille,model_id,statut,note,total_params,activated_params,d_total,d_active,score,representant,representant_statut,base_presente,revue_humaine,motif_revue
DeepSeek-V4-Flash,Chunjiang-Intelligence/DeepSeek-v4-Fable,incertain,memes dims d'architecture mais total_params tres different (149G vs ~290-304G): incoherence a verifier,149210695634,10463576355,0.29,0.29,0.58,deepseek-ai/DeepSeek-V4-Flash,modele de base,True,False,
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,base,nom explicite,1598839674782,87312401789,,,,deepseek-ai/DeepSeek-V4-Pro,modele de base,True,False,
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro-0813,fine-tune,checkpoint date,1650497936906,90133451960,0.0138,0.0138,0.0276,deepseek-ai/DeepSeek-V4-Pro,modele de base,True,False,
DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro-DSpark,incertain,suffixe non documente,1650497936906,90133451960,0.0138,0.0138,0.0276,deepseek-ai/DeepSeek-V4-Pro,modele de base,True,False,
DeepSeek-V3.2,deepseek-ai/DeepSeek-V3.2,base,nom explicite,685355329792,37606579175,,,,deepseek-ai/DeepSeek-V3.2,modele de base,True,False,
DeepSeek-V3.2,deepseek-ai/DeepSeek-V3.2-Exp,fine-tune,variante experimentale de V3.2,685396921376,37608861374,0.0,0.0,0.0001,deepseek-ai/DeepSeek-V3.2,modele de base,True,False,
DeepSeek-V3.2,deepseek-ai/DeepSeek-V3.2-Speciale,fine-tune,variante de V3.2,685396921376,37608861374,0.0,0.0,0.0001,deepseek-ai/DeepSeek-V3.2,modele de base,True,False,
DeepSeek-Math-V2,deepseek-ai/DeepSeek-Math-V2,incertain,meme architecture que V3.2 mais nom sans lien explicite -> independant,685396921376,37608861374,,,,deepseek-ai/DeepSeek-Math-V2,substitut propose,False,False,
DeepSeek-V2,deepseek-ai/DeepSeek-V2,base,nom explicite,235741434880,18637015110,,,,deepseek-ai/DeepSeek-V2,modele de base,True,False,
DeepSeek-V2,deepseek-ai/DeepSeek-V2-Chat,fine-tune,variante chat de V2,235741434880,18637015110,0.0,0.0,0.0,deepseek-ai/DeepSeek-V2,modele de base,True,False,
DeepSeek-V2,deepseek-ai/DeepSeek-V2-Chat-0628,fine-tune,checkpoint date,235741434880,18637015110,0.0,0.0,0.0,deepseek-ai/DeepSeek-V2,modele de base,True,False,
DeepSeek-V2.5 / DeepSeek-Coder-V2 (sans base explicite),deepseek-ai/DeepSeek-V2.5,incertain,aucune balise -Base; nom le plus simple du sous-groupe V2.5,235741434880,18637015110,,,,deepseek-ai/DeepSeek-V2.5,substitut propose,False,True,"Pas de modele -Base pour V2.5 ni pour Coder-V2 dans le tableau; total_params/activated_params identiques pour tous les membres (score=0 partout), donc aucun departage numerique possible. Choix du representant necessiterait une source externe."
DeepSeek-V2.5 / DeepSeek-Coder-V2 (sans base explicite),deepseek-ai/DeepSeek-V2.5-1210,fine-tune,checkpoint date de V2.5,235741434880,18637015110,0.0,0.0,0.0,deepseek-ai/DeepSeek-V2.5,substitut propose,False,True,"Pas de modele -Base pour V2.5 ni pour Coder-V2 dans le tableau; total_params/activated_params identiques pour tous les membres (score=0 partout), donc aucun departage numerique possible. Choix du representant necessiterait une source externe."
DeepSeek-V2.5 / DeepSeek-Coder-V2 (sans base explicite),deepseek-ai/DeepSeek-Coder-V2-Instruct,incertain,aucune balise -Base pour Coder-V2 dans le tableau,235741434880,18637015110,0.0,0.0,0.0,deepseek-ai/DeepSeek-V2.5,substitut propose,False,True,"Pas de modele -Base pour V2.5 ni pour Coder-V2 dans le tableau; total_params/activated_params identiques pour tous les membres (score=0 partout), donc aucun departage numerique possible. Choix du representant necessiterait une source externe."
DeepSeek-V2.5 / DeepSeek-Coder-V2 (sans base explicite),deepseek-ai/DeepSeek-Coder-V2-Instruct-0724,fine-tune,checkpoint date de Coder-V2-Instruct,235741434880,18637015110,0.0,0.0,0.0,deepseek-ai/DeepSeek-V2.5,substitut propose,False,True,"Pas de modele -Base pour V2.5 ni pour Coder-V2 dans le tableau; total_params/activated_params identiques pour tous les membres (score=0 partout), donc aucun departage numerique possible. Choix du representant necessiterait une source externe."
DeepSeek-V2-Lite,deepseek-ai/DeepSeek-V2-Lite,base,nom explicite,15706484224,2645947730,,,,deepseek-ai/DeepSeek-V2-Lite,modele de base,True,False,
DeepSeek-V2-Lite,deepseek-ai/DeepSeek-V2-Lite-Chat,fine-tune,variante chat,15706484224,2645947730,0.0,0.0,0.0,deepseek-ai/DeepSeek-V2-Lite,modele de base,True,False,
DeepSeek-Coder-V2-Lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Base,base,suffixe -Base explicite,15706484224,2645947730,,,,deepseek-ai/DeepSeek-Coder-V2-Lite-Base,modele de base,True,False,
DeepSeek-Coder-V2-Lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,fine-tune,variante instruct,15706484224,2645947730,0.0,0.0,0.0,deepseek-ai/DeepSeek-Coder-V2-Lite-Base,modele de base,True,False,
Kimi-K2,moonshotai/Kimi-K2-Base,base,suffixe -Base explicite,1026470731056,38376638004,,,,moonshotai/Kimi-K2-Base,modele de base,True,False,
Kimi-K2,moonshotai/Kimi-K2-Instruct,fine-tune,variante instruct,1026408235864,38374301497,0.0,0.0,0.0001,moonshotai/Kimi-K2-Base,modele de base,True,False,
Kimi-K2,moonshotai/Kimi-K2-Instruct-0905,fine-tune,checkpoint date,1026470735448,38376638168,0.0,0.0,0.0,moonshotai/Kimi-K2-Base,modele de base,True,False,
Kimi-K2,moonshotai/Kimi-K2-Thinking,fine-tune,variante reasoning,1026408240256,38374301662,0.0,0.0,0.0001,moonshotai/Kimi-K2-Base,modele de base,True,False,
Kimi-K2,unsloth/Kimi-K2-Instruct-GGUF,quantifie,"GGUF de Kimi-K2-Instruct; ATTENTION: model_type source indique 'deepseek_v3' au lieu de 'kimi_k2' (incoherence de metadonnees), lien etabli via le nom explicite",1049337397248,39231553536,0.0096,0.0096,0.0191,moonshotai/Kimi-K2-Base,modele de base,True,False,
Moonlight-16B-A3B,moonshotai/Moonlight-16B-A3B,base,nom explicite,15960111936,2890561333,,,,moonshotai/Moonlight-16B-A3B,modele de base,True,False,
Moonlight-16B-A3B,moonshotai/Moonlight-16B-A3B-Instruct,fine-tune,variante instruct,15960111936,2890561333,0.0,0.0,0.0,moonshotai/Moonlight-16B-A3B,modele de base,True,False,
deepseek-moe-16b,deepseek-ai/deepseek-moe-16b-base,base,suffixe -base explicite,16375728128,2746157979,,,,deepseek-ai/deepseek-moe-16b-base,modele de base,True,False,
deepseek-moe-16b,deepseek-ai/deepseek-moe-16b-chat,fine-tune,variante chat,16375728128,2746157979,0.0,0.0,0.0,deepseek-ai/deepseek-moe-16b-base,modele de base,True,False,
Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,base,nom explicite sans suffixe,30532122624,3352844924,,,,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B-Instruct-2507,fine-tune,variante instruct,30532122624,3352844924,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B-Thinking-2507,fine-tune,variante reasoning,30532122624,3352844924,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,quantifie,FP8 de la variante instruct,30533947392,3353045309,0.0,0.0,0.0001,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,unsloth/Qwen3-30B-A3B-GGUF,quantifie,GGUF du modele de base,30531911680,3352821760,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,Qwen/Qwen3-Coder-30B-A3B-Instruct,fine-tune,"specialisation code, meme architecture",30532122624,3352844924,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,quantifie,FP8 de Qwen3-Coder-30B-A3B-Instruct,30533947392,3353045309,0.0,0.0,0.0001,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,Tongyi-Zhiwen/QwenLong-L1.5-30B-A3B,incertain,"pas de lien nominal explicite avec Qwen3-30B-A3B, arch identique",30532122624,3352844924,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,NousResearch/nomos-1,incertain,"pas de lien nominal explicite, arch identique",30532122624,3352844924,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,miromind-ai/MiroThinker-v1.5-30B,incertain,"pas de lien nominal explicite, arch identique",30532122624,3352844924,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-30B-A3B,miromind-ai/MiroThinker-1.7-mini,incertain,"pas de lien nominal explicite, arch identique",30532122624,3352844924,0.0,0.0,0.0,Qwen/Qwen3-30B-A3B,modele de base,True,False,
Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B,base,nom explicite,235093634560,22190040653,,,,Qwen/Qwen3-235B-A22B,modele de base,True,False,
Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B-Instruct-2507,fine-tune,variante instruct,235093634560,22190040653,0.0,0.0,0.0,Qwen/Qwen3-235B-A22B,modele de base,True,False,
Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B-Thinking-2507,fine-tune,variante reasoning,235093634560,22190040653,0.0,0.0,0.0,Qwen/Qwen3-235B-A22B,modele de base,True,False,
Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,quantifie,FP8 de la variante instruct,235107904512,22191387566,0.0,0.0,0.0001,Qwen/Qwen3-235B-A22B,modele de base,True,False,
Qwen3-235B-A22B,miromind-ai/MiroThinker-v1.5-235B,incertain,pas de lien nominal explicite,235093634560,22190040653,0.0,0.0,0.0,Qwen/Qwen3-235B-A22B,modele de base,True,False,
Qwen3-235B-A22B,miromind-ai/MiroThinker-1.7,incertain,pas de lien nominal explicite,235093634560,22190040653,0.0,0.0,0.0,Qwen/Qwen3-235B-A22B,modele de base,True,False,
Qwen3-235B-A22B,baichuan-inc/Baichuan-M3-235B,incertain,pas de lien nominal explicite malgre architecture identique,235093634560,22190040653,0.0,0.0,0.0,Qwen/Qwen3-235B-A22B,modele de base,True,False,
Qwen3-Coder-480B-A35B-Instruct,Qwen/Qwen3-Coder-480B-A35B-Instruct,incertain,"seule variante non quantifiee disponible, pas de base pretrain publique dans le tableau",480154875392,35474039352,,,,Qwen/Qwen3-Coder-480B-A35B-Instruct,substitut propose,False,False,
Qwen3-Coder-480B-A35B-Instruct,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,quantifie,FP8 de la variante instruct,480184064000,35476195819,0.0,0.0,0.0001,Qwen/Qwen3-Coder-480B-A35B-Instruct,substitut propose,False,False,
Qwen3-Next-80B-A3B (sans base non-finetunee),Qwen/Qwen3-Next-80B-A3B-Instruct,incertain,aucune version 'base' de Qwen3-Next-80B-A3B dans le tableau,81324862720,3183985633,,,,Qwen/Qwen3-Next-80B-A3B-Instruct,substitut propose,False,True,Instruct et Thinking ont des total_params/activated_params strictement identiques (score=0) et la meme architecture: aucun departage possible sans information externe sur le veritable modele de base 'Qwen3-Next-80B-A3B'.
Qwen3-Next-80B-A3B (sans base non-finetunee),Qwen/Qwen3-Next-80B-A3B-Thinking,incertain,aucune version 'base' dans le tableau,81324862720,3183985633,0.0,0.0,0.0,Qwen/Qwen3-Next-80B-A3B-Instruct,substitut propose,False,True,Instruct et Thinking ont des total_params/activated_params strictement identiques (score=0) et la meme architecture: aucun departage possible sans information externe sur le veritable modele de base 'Qwen3-Next-80B-A3B'.
Qwen3-Next-80B-A3B (sans base non-finetunee),unsloth/Qwen3-Next-80B-A3B-Instruct-GGUF,quantifie,GGUF de la variante instruct,78888042496,3088580608,0.0132,0.0132,0.0264,Qwen/Qwen3-Next-80B-A3B-Instruct,substitut propose,False,True,Instruct et Thinking ont des total_params/activated_params strictement identiques (score=0) et la meme architecture: aucun departage possible sans information externe sur le veritable modele de base 'Qwen3-Next-80B-A3B'.
Qwen3-Coder-Next,Qwen/Qwen3-Coder-Next,base,nom explicite sans suffixe (seule version non quantifiee),79674391296,3119367297,,,,Qwen/Qwen3-Coder-Next,modele de base,True,False,
Qwen3-Coder-Next,Qwen/Qwen3-Coder-Next-FP8,quantifie,FP8 de Qwen3-Coder-Next,79679212800,3119556066,0.0,0.0,0.0001,Qwen/Qwen3-Coder-Next,modele de base,True,False,
Qwen3.8-2.4T-A95B,Qwen/Qwen3.8-2.4T-A95B,base,nom explicite,2446182725504,78431172082,,,,Qwen/Qwen3.8-2.4T-A95B,modele de base,True,False,
Qwen3.8-2.4T-A95B,Qwen/Qwen3.8-2.4T-A95B-FP8,quantifie,FP8,2446182725504,78431172082,0.0,0.0,0.0,Qwen/Qwen3.8-2.4T-A95B,modele de base,True,False,
Qwen1.5-MoE-A2.7B,Qwen/Qwen1.5-MoE-A2.7B,base,nom explicite,14315784192,1972894769,,,,Qwen/Qwen1.5-MoE-A2.7B,modele de base,True,False,
Qwen1.5-MoE-A2.7B,Qwen/Qwen1.5-MoE-A2.7B-Chat,fine-tune,variante chat,14315784192,1972894769,0.0,0.0,0.0,Qwen/Qwen1.5-MoE-A2.7B,modele de base,True,False,
GLM-5.2,zai-org/GLM-5.2,base,nom explicite,753329940480,50152524869,,,,zai-org/GLM-5.2,modele de base,True,False,
GLM-5.2,zai-org/GLM-5.2-FP8,quantifie,FP8,753329940480,50152524869,0.0,0.0,0.0,zai-org/GLM-5.2,modele de base,True,False,
GLM-5.2,nvidia/GLM-5.2-NVFP4,quantifie,NVFP4,380989135104,25364141323,0.2961,0.2961,0.5921,zai-org/GLM-5.2,modele de base,True,False,
GLM-5.2,mastouri/GLM-5.2-colibri-int4-g64-with-int8-mtp,quantifie,quantification int4 personnalisee,782292221952,52080672768,0.0164,0.0164,0.0328,zai-org/GLM-5.2,modele de base,True,False,
GLM-5.3,zai-org/GLM-5.3,base,nom explicite,753329940480,50152524869,,,,zai-org/GLM-5.3,modele de base,True,False,
GLM-5.3,dealignai/GLM-5.3-CYBERSECURITY-FP8,fine-tune+quantifie,fine-tune domaine cybersecurite + FP8,753329940480,50152524869,0.0,0.0,0.0,zai-org/GLM-5.3,modele de base,True,False,
GLM-5,zai-org/GLM-5,base,nom explicite,753864139008,35773373370,,,,zai-org/GLM-5,modele de base,True,False,
GLM-5,zai-org/GLM-5-FP8,quantifie,FP8,753910024032,35775550768,0.0,0.0,0.0001,zai-org/GLM-5,modele de base,True,False,
GLM-5.1,zai-org/GLM-5.1,base,nom explicite,753864139008,35773373370,,,,zai-org/GLM-5.1,modele de base,True,False,
GLM-5.1,zai-org/GLM-5.1-FP8,quantifie,FP8,753910024032,35775550768,0.0,0.0,0.0001,zai-org/GLM-5.1,modele de base,True,False,
GLM-4.5,zai-org/GLM-4.5,incertain,aucune variante associee dans le tableau (architecture 5120),358337791296,33212948328,,,,zai-org/GLM-4.5,substitut propose,False,False,
GLM-4.6,zai-org/GLM-4.6,base,nom explicite,356785898816,33069109397,,,,zai-org/GLM-4.6,modele de base,True,False,
GLM-4.6,ArliAI/GLM-4.6-Derestricted-v3,fine-tune,fine-tune tiers (derestriction),356785898816,33069109397,0.0,0.0,0.0,zai-org/GLM-4.6,modele de base,True,False,
GLM-4.7,zai-org/GLM-4.7,base,nom explicite,358337791296,33212948328,,,,zai-org/GLM-4.7,modele de base,True,False,
GLM-4.7,zai-org/GLM-4.7-FP8,quantifie,FP8,358458391872,33224126330,0.0001,0.0001,0.0003,zai-org/GLM-4.7,modele de base,True,False,
GLM-4.5-Air,zai-org/GLM-4.5-Air,base,nom explicite,110468824832,13632377355,,,,zai-org/GLM-4.5-Air,modele de base,True,False,
GLM-4.5-Air,ArliAI/GLM-4.5-Air-Derestricted,fine-tune,fine-tune tiers,110468824832,13632377355,0.0,0.0,0.0,zai-org/GLM-4.5-Air,modele de base,True,False,
GLM-4.5-Air,PrimeIntellect/INTELLECT-3,incertain,pas de lien nominal explicite malgre architecture identique,106852251264,13186075010,0.0145,0.0145,0.0289,zai-org/GLM-4.5-Air,modele de base,True,False,
GLM-4.5-Air,cerebras/GLM-4.5-Air-REAP-82B-A12B,autre,"modele compresse/elague (REAP, nombre d'experts reduit): architecture differente (96 experts vs 128) mais nom explicitement lie a GLM-4.5-Air",81932181504,13190383172,0.1298,0.0143,0.1441,zai-org/GLM-4.5-Air,modele de base,True,False,
MiniMax-M2,MiniMaxAI/MiniMax-M2,base,nom explicite,228689764864,11029749520,,,,MiniMaxAI/MiniMax-M2,modele de base,True,False,
MiniMax-M2,MiniMaxAI/MiniMax-M2.1,fine-tune,mise a jour de M2,228689764864,11029749520,0.0,0.0,0.0,MiniMaxAI/MiniMax-M2,modele de base,True,False,
MiniMax-M2,MiniMaxAI/MiniMax-M2.5,fine-tune,mise a jour de M2,228703644928,11030418958,0.0,0.0,0.0001,MiniMaxAI/MiniMax-M2,modele de base,True,False,
MiniMax-M2,MiniMaxAI/MiniMax-M2.7,fine-tune,mise a jour de M2,228689764864,11029749520,0.0,0.0,0.0,MiniMaxAI/MiniMax-M2,modele de base,True,False,
MiniMax-M1 (variantes de contexte),MiniMaxAI/MiniMax-M1-80k,incertain,"variante de longueur de contexte, pas de balise base",456089655296,39553278693,,,,MiniMaxAI/MiniMax-M1-80k,substitut propose,False,True,Aucune balise -Base; total_params/activated_params identiques pour les deux variantes de contexte (score=0): aucun departage numerique possible.
MiniMax-M1 (variantes de contexte),MiniMaxAI/MiniMax-M1-40k,incertain,"variante de longueur de contexte, pas de balise base",456089655296,39553278693,0.0,0.0,0.0,MiniMaxAI/MiniMax-M1-80k,substitut propose,False,True,Aucune balise -Base; total_params/activated_params identiques pour les deux variantes de contexte (score=0): aucun departage numerique possible.
gpt-oss-20b,openai/gpt-oss-20b,base,nom explicite,20914757184,4187671602,,,,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-20b,unsloth/gpt-oss-20b-GGUF,quantifie,GGUF,20907786240,4186275840,0.0001,0.0001,0.0003,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-20b,openai/gpt-oss-safeguard-20b,fine-tune,fine-tune officiel (garde-fous),21511953984,4307245740,0.0122,0.0122,0.0245,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-20b,huihui-ai/Huihui-gpt-oss-20b-BF16-abliterated,fine-tune,"fine-tune tiers (retrait de refus, 'abliterated')",20914757184,4187671602,0.0,0.0,0.0,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-20b,p-e-w/gpt-oss-20b-heretic,fine-tune,fine-tune tiers,20914757184,4187671602,0.0,0.0,0.0,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-20b,chromadb/context-1,incertain,pas de lien nominal explicite malgre architecture identique,20914757184,4187671602,0.0,0.0,0.0,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-20b,pat-jj/harness-1,incertain,pas de lien nominal explicite,20914757184,4187671602,0.0,0.0,0.0,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-20b,microsoft/OptiMind-SFT,incertain,"pas de lien nominal explicite (SFT suggere un fine-tune, base non confirmee)",20914757184,4187671602,0.0,0.0,0.0,openai/gpt-oss-20b,modele de base,True,False,
gpt-oss-120b,openai/gpt-oss-120b,base,nom explicite,116829156672,5712204907,,,,openai/gpt-oss-120b,modele de base,True,False,
gpt-oss-120b,unsloth/gpt-oss-120b-GGUF,quantifie,GGUF,116788838400,5710233600,0.0001,0.0001,0.0003,openai/gpt-oss-120b,modele de base,True,False,
gpt-oss-120b,openai/gpt-oss-safeguard-120b,fine-tune,fine-tune officiel,120412337472,5887399726,0.0131,0.0131,0.0262,openai/gpt-oss-120b,modele de base,True,False,
NVIDIA-Nemotron-3-Nano-30B-A3B,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,base,suffixe -Base explicite,31577937344,2279424392,,,,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,modele de base,True,False,
NVIDIA-Nemotron-3-Nano-30B-A3B,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,fine-tune,variante post-entrainee BF16,31577937344,2279424392,0.0,0.0,0.0,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,modele de base,True,False,
NVIDIA-Nemotron-3-Nano-30B-A3B,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,quantifie,FP8,31577946256,2279425035,0.0,0.0,0.0,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,modele de base,True,False,
NVIDIA-Nemotron-3-Nano-30B-A3B,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,quantifie,NVFP4,18237772608,1316476858,0.2384,0.2384,0.4768,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,modele de base,True,False,
NVIDIA-Nemotron-3.5-Lightning-30B-A3B,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,incertain,"BF16 = precision native retenue comme reference, aucune balise -Base",31577937344,2279424392,,,,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,substitut propose,False,True,Aucune version taguee -Base; BF16 propose comme reference par convention (precision native non quantifiee) mais ceci n'est pas garanti par le tableau seul.
NVIDIA-Nemotron-3.5-Lightning-30B-A3B,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,quantifie,NVFP4 de la variante BF16,17820210764,1286335540,0.2485,0.2485,0.4969,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,substitut propose,False,True,Aucune version taguee -Base; BF16 propose comme reference par convention (precision native non quantifiee) mais ceci n'est pas garanti par le tableau seul.
Nemotron-Cascade-2-30B-A3B,nvidia/Nemotron-Cascade-2-30B-A3B,incertain,architecture identique a Nemotron-3-Nano mais nom sans lien explicite -> independant,31577937344,2279424392,,,,nvidia/Nemotron-Cascade-2-30B-A3B,substitut propose,False,False,
pipecat-ai/phonellm-alpha-1,pipecat-ai/phonellm-alpha-1,incertain,architecture identique a Nemotron-3-Nano mais nom sans lien explicite -> independant,31577937344,2279424392,,,,pipecat-ai/phonellm-alpha-1,substitut propose,False,False,
nvidia/Nemotron-Labs-TwoTower-30B-A3B-Base-BF16,nvidia/Nemotron-Labs-TwoTower-30B-A3B-Base-BF16,base,porte -Base dans son propre nom mais represente un modele independant (pas de variante associee dans le tableau),63185902848,4561016340,,,,nvidia/Nemotron-Labs-TwoTower-30B-A3B-Base-BF16,modele de base,True,False,
NVIDIA-Nemotron-3-Super-120B-A12B,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,incertain,"BF16 retenu comme reference (precision native), aucune balise -Base",123611012096,5889045124,,,,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,substitut propose,False,True,"Aucune balise -Base. FP8 partage exactement les memes total_params/activated_params que BF16 (suspect si FP8 est cense etre quantifie), et NVFP4 affiche un total_params ~2x plus faible sans changement d'architecture declare: incoherences de donnees a verifier avant de choisir un representant definitif."
