model_type,hidden_size,num_hidden_layers,num_attention_heads,num_key_value_heads,head_dim,intermediate_size,vocab_size,tie_word_embeddings,is_moe,num_local_experts,num_experts_per_tok,num_shared_experts,moe_intermediate_size,model_id,likes,total_params,activated_params,activation_ratio,total_params_source
bailing_hybrid,4096,32,32,32,128,9216,157184,False,True,256,8,1,1024,inclusionAI/Ling-2.6-flash,506,107494409216,7128634298,0.0663163261233026,safetensors
qwen3_next,2048,48,16,2,256,5120,151936,False,True,512,10,0,512,Qwen/Qwen3-Next-80B-A3B-Thinking,496,81324862720,3183985633,0.03915144184088455,safetensors
solar_open,4096,48,64,8,128,10240,196608,False,True,128,8,1,1280,upstage/Solar-Open-100B,496,102651793408,12054476352,0.11743074282285802,safetensors
hy_v4,6144,78,64,8,64,18432,120832,False,True,256,8,1,2048,tencent/Hy4-preview,485,779960992733,33258202987,0.04264085421818666,safetensors
bailing_hybrid,1536,24,16,16,128,4608,157184,False,True,128,8,1,512,inclusionAI/Ling-3.0-tiny,471,7893392800,1266992314,0.1605130196992097,safetensors
deepseek_v2,5120,60,128,128,40,12288,102400,False,True,160,6,2,1536,deepseek-ai/DeepSeek-V2-Chat,463,235741434880,18637015110,0.07905701905770975,safetensors
mixtral,4096,32,32,8,128,14336,32002,False,True,8,2,0,14336,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,459,46702809088,12879748815,0.27578103044575475,safetensors
nemotron_h,4096,88,32,2,128,2688,131072,False,True,512,22,1,2688,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,436,67228556288,3202886174,0.047641751524146604,safetensors
nemotron_h,2688,52,32,2,128,1856,131072,False,True,128,6,1,1856,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,431,17820210764,1286335540,0.07218408115568571,safetensors
nemotron_h,4096,88,32,2,128,2688,131072,False,True,512,22,1,2688,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,426,123611012096,5889045124,0.047641751524745965,safetensors
mimo_v2,4096,48,64,4,192,16384,152576,False,True,256,8,0,2048,XiaomiMiMo/MiMo-V2.5,425,310775040000,15848032254,0.05099519013496064,safetensors
gpt_oss,2880,24,64,8,64,2880,201088,False,True,32,4,0,2880,chromadb/context-1,424,20914757184,4187671602,0.2002256858713909,safetensors
mixtral,6144,56,48,8,128,16384,32000,False,True,8,2,0,16384,alpindale/WizardLM-2-8x22B,416,140620634112,39151530770,0.2784195293758739,safetensors
bailing_hybrid,2560,42,32,32,128,6144,157184,False,True,512,8,1,768,inclusionAI/Ling-3.0-flash,415,127486405600,4768002133,0.037400082860285774,safetensors
unknown,2048,24,16,4,128,4096,151936,False,True,256,8,0,512,deepgrove/maple-preview,415,20214030336,1490558636,0.07373881463635694,safetensors
qwen3_moe,4096,94,64,4,128,12288,151936,False,True,128,8,0,1536,Qwen/Qwen3-235B-A22B-Thinking-2507,410,235093634560,22190040653,0.0943880964473188,safetensors
qwen3_moe,2048,48,32,4,128,6144,151936,False,True,128,8,0,768,Qwen/Qwen3-30B-A3B-Thinking-2507,380,30532122624,3352844924,0.10981368591008053,safetensors
lfm2_moe,2048,24,32,8,64,7168,65536,False,True,32,4,0,1792,LiquidAI/LFM2-8B-A1B,371,8339929856,1466537919,0.17584535413627345,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,deepseek-ai/DeepSeek-V3.1-Terminus,368,684531386000,37561368018,0.054871652032621336,safetensors
arctic,7168,35,56,8,128,4864,32000,False,True,128,2,0,4864,Snowflake/snowflake-arctic-instruct,365,478584608768,12058919776,0.025197048870925384,safetensors
nemotron_h,2688,52,32,2,128,1856,131072,False,True,128,6,1,1856,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,360,31577946256,2279425035,0.07218408114704089,safetensors
lfm2_moe,2048,40,32,8,64,11776,65536,False,True,64,4,0,1536,LiquidAI/LFM2-24B-A2B,349,23843661440,2113646372,0.08864604864981676,safetensors
k2_horizon,2560,48,32,8,128,6144,250624,False,True,100,8,1,768,IFM/K2-Horizon-MoVA-36B-A4B,346,37444792020,6133095119,0.16379033740457666,safetensors
mellum,2304,28,32,4,128,7168,98304,False,True,64,8,0,896,JetBrains/Mellum2-12B-A2.5B-Thinking,337,12149923072,2438950041,0.20073789986544532,safetensors
deepseek_v2,5120,60,128,128,40,12288,102400,False,True,160,6,2,1536,deepseek-ai/DeepSeek-V2,336,235741434880,18637015110,0.07905701905770975,safetensors
glm_moe_dsa,6144,78,64,64,192,12288,154880,False,True,256,8,1,2048,nvidia/GLM-5.2-NVFP4,324,380989135104,25364141323,0.06657444789357643,safetensors
laguna,2048,40,48,8,128,8192,100352,False,True,256,8,0,512,poolside/Laguna-XS.2,320,33442617088,2583994846,0.07726652609754033,safetensors
hy_v3,4096,80,64,8,128,13312,120832,False,True,192,8,1,1536,tencent/Hy3-preview,312,298786155776,20701051469,0.06928383751662034,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,microsoft/MAI-DS-R1,309,671026419200,36820328179,0.054871652032564264,safetensors
granitemoehybrid,4096,40,32,8,128,768,100352,True,True,72,10,0,768,ibm-granite/granite-4.0-h-small,309,32207337984,6462921277,0.20066611156161548,safetensors
kimi_k2,7168,61,64,64,112,18432,163840,False,True,384,8,1,2048,moonshotai/Kimi-K2-Base,306,1026470731056,38376638004,0.03738697738075722,safetensors
sarvam_mla,4096,32,64,64,576,16384,262144,False,True,128,8,1,2048,sarvamai/sarvam-105b,296,106031767424,24305154234,0.2292252107503642,safetensors
axk1,7168,61,64,64,112,18432,163840,False,True,192,8,1,2048,skt/A.X-K1,295,518983059456,38085598589,0.07338505158322792,safetensors
gpt_oss,2880,36,64,8,64,2880,201088,False,True,128,4,0,2880,unsloth/gpt-oss-120b-GGUF,294,116788838400,5710233600,0.04889365865976453,formula
qwen3_moe,2048,48,32,4,128,6144,151936,False,True,128,8,0,768,unsloth/Qwen3-30B-A3B-GGUF,287,30531911680,3352821760,0.10981368592770671,formula
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,tngtech/DeepSeek-TNG-R1T2-Chimera,285,684531386000,37561368018,0.054871652032621336,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,nvidia/DeepSeek-R1-NVFP4,282,396767013632,21771261510,0.054871652032526995,safetensors
deepseek_v4,4096,43,64,1,512,16384,129280,False,True,256,6,1,2048,deepseek-ai/DeepSeek-V4-Flash-DSpark,281,165265454782,11589435313,0.07012618171345916,safetensors
nemotron_h,4096,88,32,2,128,2688,131072,False,True,512,22,1,2688,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,280,123611012096,5889045124,0.047641751524745965,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,tngtech/DeepSeek-R1T-Chimera,273,684531386000,37561368018,0.054871652032621336,safetensors
unknown,8192,38,64,64,128,12288,163840,False,True,768,12,0,12288,meituan-longcat/LongCat-2.0,272,1775560491136,30341963831,0.01708866804734277,safetensors
mixtral,6144,56,48,8,128,16384,32000,False,True,8,2,0,16384,HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,270,140620634112,39151530770,0.2784195293758739,safetensors
glm_moe_dsa,6144,78,64,64,192,12288,154880,False,True,256,8,1,2048,zai-org/GLM-5.2-FP8,266,753329940480,50152524869,0.06657444789336829,safetensors
gpt_oss,2880,24,64,8,64,2880,201088,False,True,32,4,0,2880,openai/gpt-oss-safeguard-20b,263,21511953984,4307245740,0.20022568583047412,safetensors
deepseek_v2,5120,60,128,128,40,12288,102400,False,True,160,6,2,1536,deepseek-ai/DeepSeek-V2.5-1210,262,235741434880,18637015110,0.07905701905770975,safetensors
qwen3_moe,4096,94,64,4,128,12288,151936,False,True,128,8,0,1536,miromind-ai/MiroThinker-v1.5-235B,254,235093634560,22190040653,0.0943880964473188,safetensors
jetmoe,2048,24,32,16,64,5632,32000,True,True,8,2,0,5632,jetmoe/jetmoe-8b,253,8522237952,2465944878,0.2893541452244116,safetensors
hymba,1600,32,25,5,64,5504,32001,True,True,1,1,0,5504,nvidia/Hymba-1.5B-Instruct,247,1522797824,1522797824,1.0,safetensors
laguna,2048,40,48,8,128,8192,100352,False,True,256,8,0,512,poolside/Laguna-XS-2.1,247,33442617088,2583994846,0.07726652609754033,safetensors
qwen3_moe,2048,48,32,4,128,6144,151936,False,True,128,8,0,768,miromind-ai/MiroThinker-v1.5-30B,245,30532122624,3352844924,0.10981368591008053,safetensors
bailing_hybrid,8192,80,64,64,128,18432,157184,False,True,256,8,1,2048,inclusionAI/Ring-2.5-1T,243,1012474606720,57798636725,0.05708650502578404,safetensors
qwen3_5_moe_text,8192,92,64,4,256,32768,248320,False,True,512,10,0,2048,Qwen/Qwen3.8-2.4T-A95B-FP8,242,2446182725504,78431172082,0.03206267923662179,safetensors
bailing_moe,8192,80,64,8,128,18432,157184,False,True,256,8,1,2048,inclusionAI/Ring-1T,233,999705328640,48632240327,0.048646575079438,safetensors
qwen2_moe,2048,24,16,16,128,5632,151936,False,True,60,4,0,1408,Qwen/Qwen1.5-MoE-A2.7B,229,14315784192,1972894769,0.137812553091049,safetensors
deepseek_v3,7168,61,64,64,112,18432,163840,False,True,384,8,1,2048,unsloth/Kimi-K2-Instruct-GGUF,229,1049337397248,39231553536,0.03738697738104919,formula
nemotron_h,2688,52,32,2,128,1856,131072,False,True,128,6,1,1856,pipecat-ai/phonellm-alpha-1,227,31577937344,2279424392,0.07218408115668469,safetensors
sarvam_moe,4096,19,64,4,64,8192,262144,False,True,128,6,1,1024,sarvamai/sarvam-30b,225,32152650368,4304473548,0.1338761656887868,safetensors
gpt_oss,2880,24,64,8,64,2880,201088,False,True,32,4,0,2880,huihui-ai/Huihui-gpt-oss-20b-BF16-abliterated,222,20914757184,4187671602,0.2002256858713909,safetensors
bailing_moe,4096,32,32,4,128,9216,157184,False,True,256,8,1,1024,inclusionAI/Ling-flash-2.0,218,102889705216,5971877252,0.05804154302379452,safetensors
nemotron_h,2688,52,32,2,128,1856,131072,False,True,128,6,1,1856,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,218,31577937344,2279424392,0.07218408115668469,safetensors
mixtral,4096,32,32,8,128,14336,32002,False,True,8,2,0,14336,dphn/dolphin-2.6-mixtral-8x7b,217,46702542848,12879675392,0.27578103046591523,formula
glm4_moe,4096,46,96,8,128,10944,151552,False,True,128,8,1,1408,PrimeIntellect/INTELLECT-3,217,106852251264,13186075010,0.12340474677899997,safetensors
phi-msft,2560,32,32,32,80,10240,51200,False,True,4,2,0,10240,mlabonne/phixtral-4x2_8,209,7814405120,4292523055,0.5493089990962742,safetensors
granitemoehybrid,1536,40,12,4,128,512,100352,True,True,64,6,0,512,ibm-granite/granite-4.0-h-tiny,209,6939037248,1050035998,0.151323009298249,safetensors
unknown,3072,14,32,32,96,6144,131072,False,True,256,12,0,6144,meituan-longcat/LongCat-Flash-Lite,209,69073335552,3671211168,0.05314946988822087,safetensors
stablelm,2560,32,32,32,256,6912,50281,False,True,8,2,0,6912,HelpingAI/HELVETE-3B,208,2795325440,1071976081,0.3834888294795471,safetensors
qwen3_moe,2048,48,32,4,128,6144,151936,False,True,128,8,0,768,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,206,30533947392,3353045309,0.1098136859264554,safetensors
afmoe,2048,32,32,4,128,6144,200192,False,True,128,8,1,1024,arcee-ai/Trinity-Mini,205,26123974400,3092813070,0.11838983696140813,safetensors
deepseek_v3,2048,27,16,16,128,11264,163840,False,True,64,6,2,1408,moonshotai/Moonlight-16B-A3B-Instruct,204,15960111936,2890561333,0.1811115952438894,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,unsloth/DeepSeek-R1-0528-GGUF,202,704920158208,38680133632,0.05487165203266424,formula
grinmoe,4096,32,32,8,128,6400,32064,False,True,16,2,0,6400,microsoft/GRIN-MoE,201,41873153344,6640249008,0.15858010390209795,safetensors
bailing_moe,2048,20,16,4,128,5120,157184,False,True,256,8,1,512,inclusionAI/Ling-mini-2.0,201,16255643392,1364977689,0.08396946562396637,safetensors
deepseek_v3,7168,61,128,128,56,18432,129280,False,True,256,8,1,2048,unsloth/DeepSeek-V3-0324-GGUF,200,704920158208,38680133632,0.05487165203266424,formula
qwen3_next,2048,48,16,2,256,5120,151936,False,True,512,10,0,512,unsloth/Qwen3-Next-80B-A3B-Instruct-GGUF,200,78888042496,3088580608,0.03915144184439113,formula
laguna,3072,48,48,8,128,12288,100352,False,True,256,10,0,1024,poolside/Laguna-S-2.1-NVFP4,191,117561977600,7226149534,0.061466723183125495,safetensors
afmoe,3072,60,48,8,128,12288,200192,False,True,256,4,1,3072,arcee-ai/Trinity-Large-Thinking,189,398635286016,11233734010,0.0281804807654411,safetensors
deepseek_v2,2048,27,16,16,128,10944,102400,False,True,64,6,2,1408,deepseek-ai/DeepSeek-V2-Lite,188,15706484224,2645947730,0.16846212635905553,safetensors
bailing_moe,2048,20,16,4,128,5120,157184,False,True,256,8,1,512,inclusionAI/Ring-mini-2.0,187,16255643392,1364977689,0.08396946562396637,safetensors
minimax_m1,6144,80,64,8,128,9216,200064,False,True,32,2,0,9216,MiniMaxAI/MiniMax-M1-40k,185,456089655296,39553278693,0.08672259551102976,safetensors
granitemoehybrid,1536,40,12,4,128,512,49160,True,True,62,6,0,512,ibm-granite/granite-4.0-tiny-preview,184,6671539776,968251476,0.1451316350512005,safetensors
qwen3_next,2048,48,16,2,256,5120,151936,False,True,512,10,0,512,Qwen/Qwen3-Coder-Next-FP8,184,79679212800,3119556066,0.03915144184255796,safetensors
glm_moe_dsa,6144,78,64,64,64,12288,154880,False,True,256,8,1,2048,zai-org/GLM-5-FP8,182,753910024032,35775550768,0.04745334274329995,safetensors
dots1,4096,62,32,32,128,10944,152064,False,True,128,6,2,1408,dots-studio/dots.llm1.inst,181,142774381696,13815875707,0.0967671899039789,safetensors
afmoe,3072,60,48,8,128,12288,200192,False,True,256,4,1,3072,arcee-ai/Trinity-Large-Preview,181,398635286016,11233734010,0.0281804807654411,safetensors
deepseek_v2,5120,60,128,128,40,12288,102400,False,True,160,6,2,1536,deepseek-ai/DeepSeek-V2-Chat-0628,180,235741434880,18637015110,0.07905701905770975,safetensors
nemotron_h,2688,52,32,2,128,1856,131072,False,True,128,6,1,1856,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,180,18237772608,1316476858,0.07218408115377682,safetensors
deepseek_v3,2048,27,16,16,128,10944,128896,False,True,64,6,2,1408,amd/Instella-MoE-16B-A3B-Think,179,15862789248,2759567254,0.1739648185988432,safetensors
solar_open2,4096,48,64,8,128,10240,196608,False,True,320,8,1,1280,nota-ai/Solar-Open2-250B-Nota-NVFP4,177,144591441664,7060229431,0.04882881967112883,safetensors
joyai_llm_flash,2048,40,32,32,64,7168,129280,False,True,256,8,1,768,jdopensource/JoyAI-LLM-Flash,175,49286094592,2894291479,0.058724301508559666,safetensors
mixtral,4096,32,32,8,128,14336,32002,False,True,8,2,0,14336,dphn/dolphin-2.7-mixtral-8x7b,169,46702542848,12879675392,0.27578103046591523,formula
mixtral,4096,32,32,8,128,14336,32000,False,True,8,2,0,14336,argilla/notux-8x7b-v1,165,46702792704,12879732431,0.27578077637950066,safetensors
